TimePST:date::HH:mm a,TemperatureC:real,DewPointC:real,Humidity:real,SeaLevelPressurehPa:real,VisibilityKm:real,WindDirection:string,WindSpeedKmH:string,GustSpeedKmH:string,Precipitationmm:string,Events:string,Conditions:string,WindDirDegrees:real,DateUTC:date::yyyy-MM-dd HH:mm:ss
# http://www.wunderground.com/history/airport/KSFO/2014/2/1/DailyHistory.html?req_city=San%20Francisco%20International&req_state=CA&req_statename=California&reqdb.zip=94128&reqdb.magic=6&reqdb.wmo=99999
9:56 PM,13.3,10.6,84,1022.7,12.9,WSW,11.1,-,0.00,,Light Drizzle,250,2014-01-08 05:56:00
10:56 PM,13.3,10.6,84,1023.0,12.9,West,13.0,-,0.00,,Light Drizzle,280,2014-01-08 06:56:00
11:56 PM,12.8,10.6,86,1022.8,16.1,West,14.8,-,0.00,,Light Drizzle,280,2014-01-08 07:56:00
12:56 AM,12.8,10.6,86,1022.4,6.4,West,9.3,-,0.00,,Light Drizzle,260,2014-01-08 08:56:00
1:56 AM,12.8,10.6,86,1022.3,12.9,Calm,Calm,-,0.00,,Light Drizzle,0,2014-01-08 09:56:00
2:56 AM,12.2,10.0,86,1022.3,4.8,NW,9.3,-,0.01,,Light Drizzle,320,2014-01-08 10:56:00
3:56 AM,12.2,10.0,86,1022.1,16.1,West,13.0,-,0.00,,Overcast,260,2014-01-08 11:56:00
4:56 AM,12.2,9.4,83,1022.3,16.1,West,14.8,-,0.00,,Light Drizzle,260,2014-01-08 12:56:00
5:56 AM,11.7,9.4,86,1022.9,9.7,West,18.5,-,0.00,,Light Drizzle,280,2014-01-08 13:56:00
6:56 AM,11.7,8.9,83,1022.8,16.1,NW,13.0,-,0.00,,Light Drizzle,310,2014-01-08 14:56:00
7:56 AM,11.7,8.9,83,1022.7,16.1,West,13.0,-,0.00,,Mostly Cloudy,280,2014-01-08 15:56:00
